time,seconds_elapsed,z,y,x
1699734109763076400,0.037076416015625,-0.940948486328125,-0.2747650146484375,0.0849761962890625
1699734109773050400,0.04705029296875,-0.93951416015625,-0.2710723876953125,0.0863800048828125
1699734109783091200,0.05709130859375,-0.9335174560546875,-0.2607574462890625,0.083251953125
1699734109793101300,0.067101318359375,-0.9330596923828125,-0.257659912109375,0.0800323486328125
1699734109803141400,0.077141357421875,-0.9289703369140625,-0.2554931640625,0.0813751220703125
1699734109813151200,0.087151123046875,-0.9218597412109375,-0.2519683837890625,0.0807342529296875
1699734109823191300,0.09719140625,-0.92120361328125,-0.2500152587890625,0.07818603515625
1699734109833201400,0.107201416015625,-0.92510986328125,-0.251861572265625,0.0749969482421875
1699734109843210200,0.117210205078125,-0.929412841796875,-0.255157470703125,0.0709075927734375
1699734109853251300,0.127251220703125,-0.9302520751953125,-0.2618255615234375,0.0659332275390625
1699734109863260200,0.13726025390625,-0.9313201904296875,-0.2678985595703125,0.0635223388671875
1699734109873301200,0.14730126953125,-0.9312896728515625,-0.27557373046875,0.060150146484375
1699734109883310300,0.157310302734375,-0.931488037109375,-0.2799530029296875,0.0558929443359375
1699734109893351400,0.167351318359375,-0.9375457763671875,-0.283843994140625,0.052154541015625
1699734109903361300,0.177361328125,-0.9422760009765625,-0.28570556640625,0.04815673828125
1699734109913401300,0.1874013671875,-0.94622802734375,-0.2830657958984375,0.0439910888671875
1699734109923411500,0.197411376953125,-0.9497222900390625,-0.28070068359375,0.0413360595703125
1699734109933451500,0.207451416015625,-0.95062255859375,-0.281158447265625,0.040252685546875
1699734109943461400,0.21746142578125,-0.949920654296875,-0.280029296875,0.0387115478515625
1699734109953501200,0.227501220703125,-0.9509429931640625,-0.27972412109375,0.037078857421875
1699734109963511300,0.23751123046875,-0.9529266357421875,-0.2809600830078125,0.0358734130859375
1699734109973551400,0.24755126953125,-0.954620361328125,-0.28167724609375,0.035003662109375
1699734109983561200,0.257561279296875,-0.955108642578125,-0.2833404541015625,0.035308837890625
1699734109993601300,0.267601318359375,-0.9506072998046875,-0.2828826904296875,0.0337677001953125
1699734110003611400,0.277611328125,-0.949493408203125,-0.28338623046875,0.0294647216796875
1699734110013651500,0.2876513671875,-0.947113037109375,-0.2846221923828125,0.0278167724609375
1699734110023661300,0.297661376953125,-0.945098876953125,-0.2883453369140625,0.0245819091796875
1699734110033701400,0.307701416015625,-0.9437713623046875,-0.2943878173828125,0.024444580078125
1699734110043711200,0.317711181640625,-0.9431304931640625,-0.298828125,0.02618408203125
1699734110053751300,0.327751220703125,-0.941925048828125,-0.30072021484375,0.0262298583984375
1699734110063761200,0.33776123046875,-0.938446044921875,-0.3005218505859375,0.0267333984375
1699734110073801200,0.34780126953125,-0.934844970703125,-0.299896240234375,0.0267486572265625
1699734110083811300,0.357811279296875,-0.9317474365234375,-0.2970733642578125,0.02850341796875
1699734110093851400,0.367851318359375,-0.9251708984375,-0.295654296875,0.029296875
1699734110103861200,0.377861328125,-0.9203338623046875,-0.2939300537109375,0.029327392578125
1699734110113901300,0.3879013671875,-0.91693115234375,-0.2938385009765625,0.029693603515625
1699734110123911400,0.397911376953125,-0.9150238037109375,-0.2952117919921875,0.029541015625
1699734110133951200,0.407951171875,-0.9138946533203125,-0.2967071533203125,0.0275421142578125
1699734110143961000,0.417961181640625,-0.913604736328125,-0.2982025146484375,0.0203704833984375
1699734110154001200,0.428001220703125,-0.9140777587890625,-0.303314208984375,0.0186004638671875
1699734110164011300,0.43801123046875,-0.914337158203125,-0.3071441650390625,0.0182952880859375
1699734110174051300,0.44805126953125,-0.9167327880859375,-0.3115234375,0.017852783203125
1699734110184061200,0.458061279296875,-0.920928955078125,-0.3163299560546875,0.0187225341796875
1699734110194101200,0.468101318359375,-0.9246826171875,-0.3203582763671875,0.0144500732421875
1699734110204111400,0.478111328125,-0.9311065673828125,-0.32269287109375,0.00689697265625
1699734110214152400,0.48815234375,-0.9333038330078125,-0.3251953125,0.0046539306640625
1699734110224161300,0.498161376953125,-0.929046630859375,-0.3275909423828125,0.0040435791015625
1699734110234171400,0.50817138671875,-0.92584228515625,-0.3277587890625,0.003692626953125
1699734110244211200,0.518211181640625,-0.9269866943359375,-0.3263397216796875,0.0017242431640625
1699734110254221300,0.52822119140625,-0.9256439208984375,-0.326904296875,-0.000946044921875
1699734110264261000,0.53826123046875,-0.9248504638671875,-0.326568603515625,-0.0015411376953125
1699734110274271200,0.548271240234375,-0.926910400390625,-0.3255615234375,-0.0024261474609375
1699734110284311300,0.558311279296875,-0.929656982421875,-0.327728271484375,0.0005645751953125
1699734110294321400,0.5683212890625,-0.931121826171875,-0.32989501953125,0.0016632080078125
1699734110304361200,0.578361328125,-0.933380126953125,-0.329376220703125,0.0027923583984375
1699734110314371300,0.588371337890625,-0.935699462890625,-0.3291015625,0.005401611328125
1699734110324412400,0.598412353515625,-0.934173583984375,-0.3292083740234375,0.0056304931640625
1699734110334421500,0.60842138671875,-0.93292236328125,-0.327301025390625,0.0046844482421875
1699734110344462300,0.61846240234375,-0.934051513671875,-0.3241424560546875,0.0043792724609375
1699734110354471200,0.62847119140625,-0.934783935546875,-0.32373046875,0.0032806396484375
1699734110364512300,0.63851220703125,-0.9326019287109375,-0.3251495361328125,0.0049591064453125
1699734110374521300,0.648521240234375,-0.929412841796875,-0.323883056640625,0.0068511962890625
1699734110384562200,0.658562255859375,-0.9271392822265625,-0.326568603515625,0.0088958740234375
1699734110394571300,0.6685712890625,-0.9222412109375,-0.3318939208984375,0.009490966796875
