time,seconds_elapsed,z,y,x
1699734109846237400,0.120237548828125,0.0007491472060792148,-0.16851603984832764,0.062139272689819336
1699734109856246300,0.130246337890625,0.009869941510260105,-0.17580857872962952,0.05288611724972725
1699734109866287000,0.140287109375,0.0009643306257203221,-0.20768341422080994,0.04958592727780342
1699734109876297200,0.150297119140625,-0.022056033834815025,-0.24956749379634857,0.04802291840314865
1699734109886337300,0.160337158203125,-0.04446600005030632,-0.2859441339969635,0.051238954067230225
1699734109896347400,0.170347412109375,-0.058995410799980164,-0.28967949748039246,0.05633065104484558
1699734109906387500,0.180387451171875,-0.06978654116392136,-0.26608094573020935,0.06397871673107147
1699734109916397300,0.190397216796875,-0.06520696729421616,-0.23449718952178955,0.06822379678487778
1699734109926437400,0.200437255859375,-0.056775663048028946,-0.21955712139606476,0.07318712770938873
1699734109936447500,0.210447509765625,-0.04693395271897316,-0.20965255796909332,0.07815605401992798
1699734109946487300,0.2204873046875,-0.043480366468429565,-0.2023560255765915,0.0883016362786293
1699734109956497200,0.2304970703125,-0.04320259764790535,-0.1858028918504715,0.09391903877258301
1699734109966537200,0.240537109375,-0.03971172496676445,-0.16422729194164276,0.10433652251958847
1699734109976547300,0.25054736328125,-0.03313185274600983,-0.14690981805324554,0.11870241165161133
1699734109986587400,0.26058740234375,-0.024870196357369423,-0.13796691596508026,0.13585343956947327
1699734109996597200,0.27059716796875,-0.011461712419986725,-0.13361798226833344,0.1536308377981186
1699734110006637300,0.28063720703125,-0.005352154839783907,-0.13314686715602875,0.1629423201084137
1699734110016647400,0.2906474609375,0.003906590864062309,-0.13617141544818878,0.16952697932720184
1699734110026687500,0.3006875,-0.0018080200534313917,-0.12245747447013855,0.16688938438892365
1699734110036697300,0.310697265625,-0.014844725839793682,-0.09668899327516556,0.16203124821186066
1699734110046737200,0.320737060546875,-0.020804347470402718,-0.06843391805887222,0.1454717069864273
1699734110056747300,0.330747314453125,-0.025058215484023094,-0.04344175010919571,0.11955516040325165
1699734110066787300,0.340787353515625,-0.027589550241827965,-0.02388775534927845,0.0935392752289772
1699734110076797200,0.350797119140625,-0.02827824279665947,-0.008758338168263435,0.07167818397283554
1699734110086837200,0.360837158203125,-0.026008963584899902,-0.0030684941448271275,0.06403624266386032
1699734110096847400,0.370847412109375,-0.018485799431800842,-0.014918495900928974,0.07134555280208588
1699734110106887400,0.380887451171875,-0.010436661541461945,-0.03789598122239113,0.08718177676200867
1699734110116897300,0.390897216796875,-0.0027601001784205437,-0.06423144787549973,0.1124889925122261
1699734110126937300,0.400937255859375,0.007576426956802607,-0.08996210992336273,0.14061836898326874
1699734110136947500,0.410947509765625,0.021388646215200424,-0.11935781687498093,0.17339682579040527
1699734110146957300,0.420957275390625,0.03320855274796486,-0.15375255048274994,0.20261169970035553
1699734110156997000,0.4309970703125,0.03729730471968651,-0.1903366595506668,0.2248046100139618
1699734110167007200,0.44100732421875,0.027993284165859222,-0.21662046015262604,0.23437361419200897
1699734110177047300,0.45104736328125,0.0038834214210510254,-0.22102932631969452,0.23824000358581543
1699734110187057200,0.46105712890625,-0.01549373846501112,-0.2057132124900818,0.22874955832958221
1699734110197097200,0.47109716796875,-0.026912041008472443,-0.18930387496948242,0.21465663611888885
1699734110207107300,0.481107421875,-0.037589188665151596,-0.1716335415840149,0.19086821377277374
1699734110217147400,0.4911474609375,-0.043234024196863174,-0.14287565648555756,0.16719084978103638
1699734110227157200,0.5011572265625,-0.04152320697903633,-0.12105132639408112,0.14617185294628143
1699734110237197300,0.511197265625,-0.0441080741584301,-0.12017115205526352,0.1254625767469406
1699734110247207400,0.52120751953125,-0.04413044452667236,-0.11869948357343674,0.10699356347322464
1699734110257247200,0.531247314453125,-0.047093477100133896,-0.09721070528030396,0.09277281165122986
1699734110267257000,0.541257080078125,-0.0500144325196743,-0.07716615498065948,0.07433202117681503
1699734110277297200,0.551297119140625,-0.055640093982219696,-0.06216723471879959,0.0508384145796299
1699734110287307300,0.561307373046875,-0.057321079075336456,-0.04231017082929611,0.027823641896247864
1699734110297348400,0.571348388671875,-0.05976799130439758,-0.019999008625745773,0.007413174957036972
1699734110307357200,0.581357177734375,-0.06347058713436127,-0.0009526127250865102,-0.007203850895166397
1699734110317398300,0.591398193359375,-0.06239946186542511,0.020306071266531944,-0.014139787293970585
1699734110327407400,0.601407470703125,-0.060691844671964645,0.036667998880147934,-0.014789598993957043
1699734110337448400,0.611448486328125,-0.056898437440395355,0.04164677858352661,-0.007184675894677639
1699734110347457500,0.62145751953125,-0.047869253903627396,0.0408819206058979,0.00044607947347685695
1699734110357498400,0.631498291015625,-0.040287766605615616,0.042215894907712936,0.010418818332254887
1699734110367507200,0.641507080078125,-0.0351414754986763,0.03965713083744049,0.02105868048965931
1699734110377548300,0.65154833984375,-0.03145059943199158,0.03586452454328537,0.026928020641207695
1699734110387557400,0.661557373046875,-0.031254060566425323,0.053639527410268784,0.03676067665219307
1699734110397598200,0.67159814453125,-0.03214355558156967,0.10509126633405685,0.0320892259478569
1699734110407608300,0.6816083984375,-0.023309316486120224,0.1550697386264801,-0.002517219865694642
1699734110417648400,0.6916484375,-0.024163659662008286,0.17735934257507324,-0.06347724050283432
1699734110427658200,0.701658203125,-0.035902075469493866,0.1887025386095047,-0.11819641292095184
1699734110437698300,0.7116982421875,-0.05840764939785004,0.18926100432872772,-0.1577819138765335
1699734110447708400,0.72170849609375,-0.10274315625429153,0.17664694786071777,-0.1718580424785614
1699734110457748500,0.73174853515625,-0.1750093698501587,0.1750522404909134,-0.14842355251312256
