time,seconds_elapsed,z,y,x
1699734109755900400,0.029900390625,-583.3560791015625,71.07954406738281,215.7993927001953
1699734109765604400,0.039604248046875,-583.1535034179688,71.0045166015625,215.57785034179688
1699734109775278300,0.0492783203125,-583.4502563476562,70.85745239257812,215.49156188964844
1699734109784952300,0.058952392578125,-583.725341796875,70.74948120117188,215.44644165039062
1699734109794626300,0.068626220703125,-583.6358032226562,70.75279235839844,215.31822204589844
1699734109804300300,0.07830029296875,-583.482666015625,70.63926696777344,215.25198364257812
1699734109814005200,0.088005126953125,-583.4351196289062,70.66224670410156,215.2291717529297
1699734109823679200,0.09767919921875,-583.6569213867188,70.64689636230469,215.29098510742188
1699734109833353200,0.107353271484375,-583.652099609375,70.64469909667969,215.1259765625
1699734109843027500,0.11702734375,-583.3438720703125,70.32926940917969,215.0926055908203
1699734109852732400,0.126732421875,-583.4189453125,70.38589477539062,214.96603393554688
1699734109862406100,0.13640625,-583.1433715820312,70.55856323242188,214.85427856445312
1699734109872080400,0.146080322265625,-583.5537109375,70.50491333007812,214.60350036621094
1699734109881754400,0.15575439453125,-583.3162231445312,70.35552978515625,214.49916076660156
1699734109891459300,0.165459228515625,-583.3983154296875,70.26411437988281,214.2381134033203
1699734109901133300,0.17513330078125,-583.1871948242188,70.33743286132812,214.4376678466797
1699734109910807300,0.184807373046875,-583.3743896484375,70.41531372070312,214.38925170898438
1699734109920511200,0.19451123046875,-583.30224609375,70.28945922851562,214.09848022460938
1699734109930185200,0.204185302734375,-583.04150390625,70.38688659667969,213.98594665527344
1699734109939860200,0.213860107421875,-583.0248413085938,70.11170959472656,213.8702392578125
1699734109949564200,0.223564208984375,-583.07470703125,70.06321716308594,213.46678161621094
1699734109959238400,0.23323828125,-583.1521606445312,70.23025512695312,213.43861389160156
1699734109968912400,0.242912353515625,-583.2764282226562,69.93971252441406,213.30055236816406
1699734109978617000,0.2526171875,-583.1314086914062,70.13693237304688,213.46914672851562
1699734109988291300,0.262291259765625,-583.2086791992188,69.91371154785156,213.48391723632812
1699734109997965300,0.27196533203125,-583.2869873046875,69.85174560546875,213.35711669921875
1699734110007639300,0.281639404296875,-583.3017578125,69.66136169433594,213.14669799804688
1699734110017344300,0.29134423828125,-583.4075317382812,69.57609558105469,213.10960388183594
1699734110027018200,0.301018310546875,-583.34375,69.76812744140625,213.16339111328125
1699734110036692500,0.3106923828125,-583.341064453125,69.56964111328125,213.22012329101562
1699734110046366200,0.3203662109375,-583.2728881835938,69.34783935546875,212.9979248046875
1699734110056070400,0.3300703125,-583.4703369140625,69.22172546386719,212.97459411621094
1699734110065745400,0.339745361328125,-583.325927734375,69.35713195800781,213.0540771484375
1699734110075419100,0.349419189453125,-583.0971069335938,69.31881713867188,212.8802490234375
1699734110085093400,0.35909326171875,-583.4276123046875,69.2432861328125,212.92510986328125
1699734110094797300,0.36879736328125,-583.328125,68.93058776855469,212.95162963867188
1699734110104471300,0.37847119140625,-583.256591796875,68.93202209472656,212.75836181640625
1699734110114145300,0.388145263671875,-583.2578125,69.08551025390625,213.0329132080078
1699734110123820300,0.3978203125,-583.2379150390625,68.88571166992188,212.85098266601562
1699734110133524500,0.4075244140625,-583.2415161132812,68.97746276855469,212.92349243164062
1699734110143198200,0.4171982421875,-583.30517578125,68.87748718261719,212.823974609375
1699734110152872400,0.42687255859375,-583.2349243164062,68.90608215332031,212.8907470703125
1699734110162577400,0.436577392578125,-583.0786743164062,68.58447265625,212.5501251220703
1699734110172251100,0.446251220703125,-583.242919921875,68.48710632324219,212.36685180664062
1699734110181925400,0.45592529296875,-582.993408203125,68.5579833984375,212.24618530273438
1699734110191599400,0.465599365234375,-583.339111328125,68.48663330078125,212.25148010253906
1699734110201304300,0.47530419921875,-583.3455810546875,68.44943237304688,212.23228454589844
1699734110210978300,0.484978271484375,-583.3241577148438,68.0860595703125,212.0048370361328
1699734110220652300,0.49465234375,-583.1301879882812,68.10015869140625,211.8986358642578
1699734110230356200,0.504356201171875,-582.9564208984375,68.19807434082031,211.7292938232422
1699734110240030200,0.5140302734375,-583.191162109375,68.05126953125,212.00169372558594
1699734110249705200,0.523705322265625,-583.3548583984375,68.00555419921875,211.74984741210938
1699734110259379500,0.53337939453125,-583.0723266601562,67.94017028808594,211.93923950195312
1699734110269083100,0.543083251953125,-583.2169189453125,67.82052612304688,211.42678833007812
1699734110278757400,0.55275732421875,-583.2886352539062,67.84852600097656,211.8568115234375
1699734110288431400,0.562431396484375,-583.1663818359375,67.72251892089844,211.79640197753906
1699734110298136300,0.57213623046875,-582.9964599609375,67.75727844238281,211.7386932373047
1699734110307810300,0.581810302734375,-583.197998046875,67.89874267578125,211.6795196533203
1699734110317484300,0.591484375,-583.2853393554688,67.80288696289062,211.8250732421875
1699734110327189200,0.601189208984375,-583.1619873046875,67.55580139160156,211.7110595703125
1699734110336863200,0.61086328125,-583.074951171875,67.51637268066406,211.59495544433594
1699734110346537500,0.620537353515625,-582.8682861328125,67.70773315429688,211.85618591308594
1699734110356211200,0.630211181640625,-583.2941284179688,67.63783264160156,211.7042236328125
1699734110365915400,0.639915283203125,-583.2720336914062,67.53163146972656,211.97190856933594
1699734110375590400,0.64959033203125,-583.0874633789062,67.60269165039062,211.883544921875
1699734110385264400,0.659264404296875,-583.2764892578125,67.9588623046875,211.7278594970703
1699734110394968300,0.66896826171875,-583.2616577148438,67.66621398925781,211.93775939941406
1699734110404642300,0.678642333984375,-583.129150390625,67.75038146972656,211.79248046875
1699734110414316300,0.68831640625,-583.186279296875,67.77351379394531,211.92628479003906
